node   1  (   0,    0) (  18,    3) (  39,    4) (  47,   23) (  45,   34) (  54,   30) (  45,   36) (  45,   36) (  45,   27) (  45,   45)
          (  54,   27) (  45,   63) (  45,   63) (  45,   54) (  45,   63) (  54,   63) (  45,   63) (  45,   27) (  45,   45) (  45,   54)
          (  54,   45) (  45,   63) (  45,   54) (  45,   36) (  45,   36) (  54,   63) (  45,   54) (  45,   63) (  45,   72) (  45,   45)
          (  54,   18) (  45,   36) (  45,   27) (  45,   27) (  45,   45) (  54,   63) (  45,   45) (  45,   27) (  45,   18) (  45,   27)
          (  54,   18) (  45,   72) (  45,   63) (  45,   45) (  45,   45) (  54,   36) (  45,   54) (  45,   45) (  45,   63) (  45,   36)
          (  54,   36) (  37,   63) (  39,   42) (  41,   51) (  39,   17) (  47,   31) (  40,   64) (  42,   40) (  41,   25) (  38,   43)
          (  47,   46) (  40,   41) (  44,   24) (  41,   48) (  41,    8) (  50,   69) (  38,   41) (  41,   16) (  42,   22) (  39,   53)
          (  52,   40) (  44,   49) (  44,   81) (  43,   45) (  37,   24) (  52,   16) (  42,   29) (  41,   25) (  42,   34) (  40,   30)
          (  49,   33) (  40,   35) (  43,   64) (  41,   39) (  40,   32) (  48,   66) (  43,   51) (  39,   41) (  37,   30) (  42,   33)
          (  50,   57) (  43,   67) (  42,   26) (  38,   26) (  37,   15) (  46,   32) (  41,   78) (  43,   57) (  43,   85) (  42,   26)
          (  52,   30) (  39,   31) (  41,   39) (  44,   24) (  43,    7) (  49,   24) (  40,   33) (  42,   41) (  39,   25) (  40,   58)
          (  50,    7) (  38,   37) (  42,   17) (  42,   33) (  41,   24) (  49,   39) (  42,   40) (  36,   47) (  39,   15) (  42,   54)
          (  47,   39) (  41,   50) (  39,   17) (  40,   24) (  39,   56) (  47,   32) (  42,   41) (  41,   39) (  38,   25) (  40,   35)
          (  47,   24) (  43,   53) (  38,   34) (  41,   23) (  38,   34) (  48,   69) (  42,   28) (  41,   33) (  42,   66) (  40,   55)
          (  47,   24) (  42,   50) (  41,   29) (  41,   26) (  43,   24) (  48,   22) (  39,   30) (  40,   69) (  41,   34) (  40,   31)
          (  49,   66) (  40,   23) (  39,   25) (  42,   48) (  42,   22) (  50,   33) (  41,   41) (  42,   62) (  38,   47) (  40,   34)
          (  51,    9) (  42,   47) (  42,   20) (  42,   55) (  40,   25) (  50,   23) (  39,   40) (  42,   26) (  39,   50) (  40,   16)
          (  46,   48) (  41,   66) (  38,   17) (  40,   56) (  40,   25) (  49,   30) (  39,   33) (  38,   24) (  41,   48) (  36,   17)
          (  46,   16) (  39,   65) (  39,    8) (  38,   25) (  39,   30) (  51,   15) (  42,   73) (  41,   22) (  38,   24) (  44,   24)
          (  53,   33) (  43,   58) (  39,   21) (  41,   39) (  41,   52) (  50,   66) (  42,   46) (  39,   82) (  38,   34) (  39,   82)
          (  47,    9) (  37,   31) (  39,   40) (  42,   31) (  41,   52) (  48,   25) (  43,   57) (  39,   18) (  41,   52) (  38,   25)
          (  46,   80) (  43,   32) (  42,   42) (  32,    6) (  41,   26) (  45,   49) (  41,   49) (  36,   31) (  39,   15) (  43,   57)
          (  51,   57) (  42,   47) (  38,   17) (  38,   33) (  41,   25) (  50,   15) (  39,   57) (  45,   40) (  40,   43) (  42,   25)
          (  49,   71) (  39,   23) (  41,    9) (  35,   44) (  42,   49) (  48,   48) (  37,   24) (  40,   48) (  37,   69) (  41,   55)
          (  51,   43) (  42,   23) (  40,   26) (  39,   50) (  39,   42) (  47,   41) (  40,   22) (  42,   41) (  42,   31) (  42,   25)
          (  48,   14) (  40,   73) (  39,   16) (  41,   68) (  40,   18) (  52,   58) (  42,   49) (  42,   43) (  41,   45) (  44,   32)
          (  48,   25) (  39,   50) (  43,   53) (  40,   23) (  43,   31) (  48,   57) (  42,   63) (  40,    6) (  41,   34) (  40,   24)
          (  51,   23) (  43,   45) (  39,   56) (  40,   60) (  41,   34) (  42,   24) (  39,   37) (  43,   19) (  41,   43) (  38,   49)
          (  53,    8) (  42,   32) (  38,   34) (  41,   24) (  41,   35) (  51,   58) (  40,   65) (  39,   32) (  39,   30) (  37,    0)
          (  45,   58) (  42,   18) (  40,   17) (  35,   27) (  37,   17) (  48,   59) (  37,   50) (  42,   38) (  41,   35) (  38,   55)
          (  47,   26) (  45,   31) (  45,   44) (  45,   53) (  45,   45) (  54,   81) (  45,   35) (  45,   54) (  45,   45) (  45,   36)
          (  54,   45) (  45,   71) (  45,   18) (  45,   54) (  45,   27) (  54,   45) (  45,   62) (  45,   36) (  45,   45) (  45,   54)
          (  54,   45) (  45,   26) (  45,   27) (  45,   18) (  45,   63) (  54,   36) (  45,   44) (  45,   27) (  45,   36) (  45,   54)
          (  54,   36) (  45,   35) (  45,   54) (  45,    9) (  45,   18) (  54,   27) (  45,   35) (  45,   54) (  45,   36) (  45,   63)
          (  54,   36) (  45,   71) (  45,   27) (  45,   36) (  45,   36) (  54,   63) (  45,   62) (  45,   36) (  45,   44) (  45,   36)
          (  54,   36) (  45,   35) (  45,   45) (  45,   63) (  45,   45) (  54,   54) (  45,   53) (  45,   18) (  45,   44) (  45,   45)
          (  54,   18) (  45,   53) (  45,   54) (  45,   54) (  45,    9) (  54,   36) (  45,   53) (  45,   90) (  45,   81) (  45,   36)
          (  54,   36) (  45,   35) (  45,   54) (  45,   45) (  45,   18) (  54,   27) (  45,   17) (  45,   45) (  45,   45) (  45,   45)
          (  54,   26) (  45,   62) (  45,   45) (  45,   54) (  45,   54) (  54,   45) (  45,   53) (  45,   36) (  45,   45) (  45,   45)
          (  54,   45) (  45,   44) (  45,   18) (  45,   45) (  45,    9) (  54,   18) (  45,   26) (  45,   18) (  45,   18) (  45,   54)
          (  54,    9) (  45,   98) (  45,  126) (  45,   45) (  45,   18) (  54,   27) (  45,   17) (  45,   36) (  45,   54) (  45,   36)
          (  54,   27) (  45,   71) (  45,   36) (  45,   18) (  45,   18) (  54,   36) (  45,   26) (  45,   54) (  45,   45) (  45,   63)
          (  54,   45) (  45,   35) (  45,   18) (  45,   54) (  45,   18) (  54,   27) (  45,   71) (  45,   27) (  45,   27) (  45,   27)
          (  54,   36) (  45,   44) (  45,   63) (  45,   54) (  45,   45) (  54,   54) (  45,   62) (  45,   54) (  45,   27) (  45,   27)
          (  54,   36) (  45,   35) (  45,   72) (  45,   36) (  45,   54) (  54,   36) (  45,   53) (  45,   36) (  45,   35) (  45,    9)
          (  54,   45) (  45,   53) (  45,   27) (  45,   45) (  45,   63) (  54,   54) (  45,   26) (  45,   63) (  45,   54) (  45,   45)
          (  54,   18) (  45,   53) (  45,   27) (  45,   81) (  45,   36) (  54,   27) (  45,   80) (  45,   27) (  45,   54) (  45,    9)
          (  54,   45) (  45,   35) (  45,   72) (  45,    9) (  45,   54) (  54,   27) (  45,   44) (  45,   99) (  45,   36) (  45,   54)
          (  54,   36) (  45,   44) (  45,   27) (  45,   81) (  45,   27) (  54,   45) (  45,   62) (  45,   54) (  45,   27) (  45,   54)
          (  54,   54) (  45,   53) (  45,   45) (  45,   54) (  45,   36) (  54,   45) (  45,   43) (  45,   54) (  45,   36) (  45,   54)
          (  54,   18) (  45,   89) (  45,   45) (  45,   36) (  45,   18) (  54,   27) (  45,   35) (  45,    9) (  45,   36) (  45,   27)
          (  54,   45) (  45,   17) (  45,   45) (  45,   63) (  45,   36) (  54,   36) (  45,   35) (  45,   45) (  45,   36) (  45,   36)
          (  54,   27) (  45,   89) (  45,   18) (  45,   45) (  45,   36) (  54,   36) (  45,   44) (  45,   36) (  45,   27) (  45,   27)
          (  54,   63) (  45,   44) (  45,   45) (  45,    9) (  45,   54) (  54,   45) (  45,   43) (  45,   18) (  45,   18) (  45,   54)
          (  54,    9) (  45,   62) (  45,   27) (  45,   18) (  45,   36) (  54,   27) (  45,   35) (  45,   27) (  45,   18) (  45,   27)
          (  54,   54) (  45,   80) (  45,   27) (  45,   17) (  45,   27) (  54,   27) (  45,   62) (  45,   45) (  45,   27) (  45,   90)
          (  54,    9) (  45,   53) (  45,   27) (  45,   45) (  45,   36) (  54,   54) (  45,   53) (  45,   54) (  45,   63) (  45,   36)
          (  54,   54) (  45,   26) (  45,   27) (  45,   27) (  45,   54) (  54,   45) (  45,   53) (  45,   54) (  45,   27) (  45,   45)
          (  54,   36) (  45,   61) (  45,   54) (  45,   54) (  45,   45) (  54,   45) (  45,   35) (  45,   26) (  45,   54) (  45,   36)
          (  54,   36) (  45,   89) (  45,   54) (  45,   45) (  45,   45) (  54,   27) (  45,   71) (  45,   18) (  45,   18) (  45,   36)
          (  54,   45) (  45,   35) (  45,   36) (  45,   45) (  45,   27) (  54,   27) (  45,   35) (  45,   45) (  45,   27) (  45,   45)
          (  54,   27) (  45,   52) (  45,   36) (  45,   81) (  45,   63) (  54,   63) (  45,   78) (  45,   27) (  45,   45) (  45,   18)
          (  54,   54) (  45,   26) (  45,   63) (  45,   45) (  45,   27) (  54,   27) (  45,   35) (  45,   18) (  45,   45) (  45,   36)
          (  54,   54) (  45,   26) (  45,   54) (  45,    9) (  45,   63) (  54,   27) (  45,   44) (  45,   36) (  45,  108) (  45,   45)
          (  54,   54) (  45,   17) (  45,   27) (  45,   27) (  45,   36) (  54,   52) (  45,   70) (  45,   63) (  45,   63) (  45,   27)
          (  54,   36) (  45,   44) (  45,   45) (  45,   18) (  45,   45) (  54,   45) (  45,   71) (  45,   45) (  45,   27) (  45,   54)
          (  54,   45) (  45,   35) (  45,   54) (  45,   36) (  45,   27) (  54,   62) (  45,   33) (  45,   18) (  45,   36) (  45,   54)
          (  54,   27) (  45,   62) (  45,   54) (  45,   36) (  45,   36) (  54,   27) (  45,   80) (  45,   72) (  45,   36) (  45,   27)
          (  54,   43) (  45,   71) (  45,   27) (  45,   63) (  45,   63) (  54,   18) (  45,   35) (  45,   63) (  45,   54) (  45,   54)
          (  54,   71) (  45,   62) (  45,   36) (  45,   36) (  45,   81) (  54,   27) (  45,   44) (  45,   90) (  45,   54) (  45,   45)
         
node   1 sent_total  31477  recv_total  28469

node   2  (   1,    0) (   0,    0) (  15,    4) (  15,    6) (  45,   51) (  54,   29) (  45,   72) (  45,   72) (  45,   18) (  45,   36)
          (  54,   63) (  45,   27) (  45,   45) (  45,   36) (  45,   45) (  54,   27) (  45,   54) (  45,   45) (  45,   27) (  45,   81)
          (  54,   63) (  45,   45) (  45,   45) (  45,   36) (  45,   54) (  54,   72) (  45,   72) (  45,   54) (  45,   45) (  45,   36)
          (  54,   81) (  45,   27) (  45,   45) (  45,   27) (  45,   18) (  54,   45) (  45,   63) (  45,   45) (  45,   18) (  45,   36)
          (  54,   90) (  45,   54) (  45,  108) (  45,   45) (  45,   36) (  54,   63) (  45,   36) (  45,   45) (  45,   72) (  45,   54)
          (  54,   27) (  37,   72) (  43,   67) (  42,   23) (  40,   41) (  51,   76) (  42,   58) (  39,   35) (  36,   67) (  40,  105)
          (  50,   22) (  38,   58) (  42,   25) (  44,   35) (  41,   79) (  44,   50) (  39,   59) (  39,   26) (  39,   54) (  39,   31)
          (  49,   77) (  41,  101) (  42,   26) (  43,   26) (  35,   34) (  47,   40) (  38,   78) (  39,   26) (  35,   57) (  39,   56)
          (  49,   36) (  44,   40) (  41,   29) (  38,   25) (  42,   65) (  54,   46) (  43,  113) (  41,   26) (  40,   66) (  41,   46)
